Running 1 simulations with a radial tolerance of 0.001000
Running simulation 0
design_bus_layout_inputs_icUsed = 5
[6, 127]: input idx: -1, input_number: 5 sample: 0
[7, 1]: input idx: -1, input_number: 5 sample: 0
[8, 63]: input idx: -1, input_number: 5 sample: 0
[9, 183]: input idx: -1, input_number: 5 sample: 0
[30, 53]: input idx: -1, input_number: 5 sample: 0
[32, 136]: input idx: -1, input_number: 5 sample: 0
[34, 33]: input idx: -1, input_number: 5 sample: 0
[5, 27]: input idx: -1, input_number: 5 sample: 0
[36, 32]: input idx: -1, input_number: 5 sample: 0
[7, 2]: input idx: -1, input_number: 5 sample: 0
[38, 128]: input idx: -1, input_number: 5 sample: 0
[9, 184]: input idx: -1, input_number: 5 sample: 0
[30, 54]: input idx: -1, input_number: 5 sample: 0
[32, 137]: input idx: -1, input_number: 5 sample: 0
[34, 34]: input idx: -1, input_number: 5 sample: 0
[5, 28]: input idx: -1, input_number: 5 sample: 0
[36, 33]: input idx: -1, input_number: 5 sample: 0
[7, 3]: input idx: -1, input_number: 5 sample: 0
[38, 129]: input idx: -1, input_number: 5 sample: 0
[9, 185]: input idx: -1, input_number: 5 sample: 0
[30, 55]: input idx: -1, input_number: 5 sample: 0
[32, 138]: input idx: -1, input_number: 5 sample: 0
[34, 35]: input idx: -1, input_number: 5 sample: 0
[5, 29]: input idx: -1, input_number: 5 sample: 0
[36, 34]: input idx: -1, input_number: 5 sample: 0
[7, 4]: input idx: -1, input_number: 5 sample: 0
[38, 130]: input idx: -1, input_number: 5 sample: 0
[9, 186]: input idx: -1, input_number: 5 sample: 0
[30, 56]: input idx: -1, input_number: 5 sample: 0
[32, 139]: input idx: -1, input_number: 5 sample: 0
[34, 36]: input idx: -1, input_number: 5 sample: 0
[5, 30]: input idx: -1, input_number: 5 sample: 0
[36, 35]: input idx: -1, input_number: 5 sample: 0
[7, 5]: input idx: -1, input_number: 5 sample: 0
[38, 131]: input idx: -1, input_number: 5 sample: 0
[9, 187]: input idx: -1, input_number: 5 sample: 0
[30, 57]: input idx: -1, input_number: 5 sample: 0
[32, 140]: input idx: -1, input_number: 5 sample: 0
[34, 37]: input idx: -1, input_number: 5 sample: 0
[5, 31]: input idx: -1, input_number: 5 sample: 0
[36, 36]: input idx: -1, input_number: 5 sample: 0
[7, 6]: input idx: -1, input_number: 5 sample: 0
[38, 132]: input idx: -1, input_number: 5 sample: 0
[9, 188]: input idx: -1, input_number: 5 sample: 0
[30, 58]: input idx: -1, input_number: 5 sample: 0
[32, 141]: input idx: -1, input_number: 5 sample: 0
[34, 38]: input idx: -1, input_number: 5 sample: 0
[36, 37]: input idx: -1, input_number: 5 sample: 0
[7, 7]: input idx: -1, input_number: 5 sample: 0
[38, 133]: input idx: -1, input_number: 5 sample: 0
[9, 189]: input idx: -1, input_number: 5 sample: 0
[30, 59]: input idx: -1, input_number: 5 sample: 0
[32, 142]: input idx: -1, input_number: 5 sample: 0
[34, 39]: input idx: -1, input_number: 5 sample: 0
[36, 38]: input idx: -1, input_number: 5 sample: 0
[7, 8]: input idx: -1, input_number: 5 sample: 0
[38, 134]: input idx: -1, input_number: 5 sample: 0
[9, 190]: input idx: -1, input_number: 5 sample: 0
[30, 60]: input idx: -1, input_number: 5 sample: 0
[32, 143]: input idx: -1, input_number: 5 sample: 0
[34, 40]: input idx: -1, input_number: 5 sample: 0
[36, 39]: input idx: -1, input_number: 5 sample: 0
[7, 9]: input idx: -1, input_number: 5 sample: 0
[38, 135]: input idx: -1, input_number: 5 sample: 0
[9, 191]: input idx: -1, input_number: 5 sample: 0
[30, 61]: input idx: -1, input_number: 5 sample: 0
[32, 144]: input idx: -1, input_number: 5 sample: 0
[34, 41]: input idx: -1, input_number: 5 sample: 0
[36, 40]: input idx: -1, input_number: 5 sample: 0
[7, 10]: input idx: -1, input_number: 5 sample: 0
[38, 136]: input idx: -1, input_number: 5 sample: 0
[30, 62]: input idx: -1, input_number: 5 sample: 0
[32, 145]: input idx: -1, input_number: 5 sample: 0
[34, 42]: input idx: -1, input_number: 5 sample: 0
[36, 41]: input idx: -1, input_number: 5 sample: 0
[7, 11]: input idx: -1, input_number: 5 sample: 0
[38, 137]: input idx: -1, input_number: 5 sample: 0
[30, 63]: input idx: -1, input_number: 5 sample: 0
[32, 146]: input idx: -1, input_number: 5 sample: 0
[34, 43]: input idx: -1, input_number: 5 sample: 0
[36, 42]: input idx: -1, input_number: 5 sample: 0
[7, 12]: input idx: -1, input_number: 5 sample: 0
[38, 138]: input idx: -1, input_number: 5 sample: 0
