Running 1 simulations with a radial tolerance of 0.001000
Running simulation 0
j:171 output polarization: -5.026864e-03
j:172 output polarization: -5.026864e-03
j:173 output polarization: -5.026864e-03
j:174 output polarization: -5.026864e-03
j:175 output polarization: -5.026864e-03
j:176 output polarization: -5.026864e-03
j:177 output polarization: -5.026864e-03
j:178 output polarization: -5.026864e-03
j:179 output polarization: -5.026864e-03
j:180 output polarization: -5.026864e-03
j:181 output polarization: -5.026864e-03
j:182 output polarization: -5.026864e-03
j:183 output polarization: -5.026864e-03
j:184 output polarization: -5.026864e-03
j:185 output polarization: -5.026864e-03
j:186 output polarization: -5.026864e-03
j:187 output polarization: -5.026864e-03
j:188 output polarization: -5.026864e-03
j:189 output polarization: -5.026864e-03
j:190 output polarization: -5.026864e-03
j:191 output polarization: -5.026864e-03
j:192 output polarization: -5.026864e-03
j:193 output polarization: -5.026864e-03
j:194 output polarization: -5.026864e-03
j:195 output polarization: -5.026864e-03
j:196 output polarization: -5.026864e-03
j:197 output polarization: -5.026864e-03
j:198 output polarization: -5.026864e-03
j:199 output polarization: -5.026864e-03
j:200 output polarization: -5.026864e-03
j:201 output polarization: -5.026864e-03
j:202 output polarization: -5.026864e-03
j:203 output polarization: -5.026864e-03
j:204 output polarization: -5.026864e-03
j:205 output polarization: -5.026864e-03
j:206 output polarization: -5.026864e-03
j:207 output polarization: -5.026864e-03
j:208 output polarization: -5.026864e-03
j:209 output polarization: -5.026864e-03
j:210 output polarization: -5.026864e-03
j:211 output polarization: -5.026864e-03
j:212 output polarization: -5.026864e-03
j:213 output polarization: -5.026864e-03
j:214 output polarization: -5.026864e-03
j:215 output polarization: -5.026864e-03
j:216 output polarization: -5.026864e-03
j:217 output polarization: -5.026864e-03
j:218 output polarization: -5.026864e-03
j:219 output polarization: -5.026864e-03
j:220 output polarization: -5.026864e-03
j:221 output polarization: -5.026864e-03
j:222 output polarization: -5.026864e-03
j:223 output polarization: -5.026864e-03
j:224 output polarization: -5.026864e-03
j:225 output polarization: -5.026864e-03
j:226 output polarization: -5.026864e-03
j:227 output polarization: -5.026864e-03
j:228 output polarization: -5.026864e-03
j:229 output polarization: -5.026864e-03
j:230 output polarization: -5.026864e-03
j:231 output polarization: -5.026864e-03
j:232 output polarization: -5.026864e-03
j:233 output polarization: -5.026864e-03
j:234 output polarization: -5.026864e-03
j:235 output polarization: -5.026864e-03
j:236 output polarization: -5.026864e-03
j:237 output polarization: -5.026864e-03
j:238 output polarization: -5.026864e-03
j:239 output polarization: -5.026864e-03
j:240 output polarization: -5.026864e-03
j:241 output polarization: -5.026864e-03
j:242 output polarization: -5.026864e-03
j:243 output polarization: -5.026864e-03
j:244 output polarization: -5.026864e-03
j:245 output polarization: -5.026864e-03
j:246 output polarization: -5.026864e-03
j:247 output polarization: -5.026864e-03
j:248 output polarization: -5.026864e-03
j:249 output polarization: -5.026864e-03
j:250 output polarization: -5.026864e-03
j:251 output polarization: -5.026864e-03
j:252 output polarization: -5.026864e-03
j:253 output polarization: -5.026864e-03
j:254 output polarization: -5.026864e-03
j:255 output polarization: -5.026864e-03
j:256 output polarization: -5.026864e-03
j:257 output polarization: -5.026864e-03
j:258 output polarization: -5.026864e-03
j:259 output polarization: -5.026864e-03
j:260 output polarization: -5.026864e-03
j:261 output polarization: -5.026864e-03
j:262 output polarization: -5.026864e-03
j:263 output polarization: -5.026864e-03
j:264 output polarization: -5.026864e-03
j:265 output polarization: -5.026864e-03
j:266 output polarization: -5.026864e-03
j:267 output polarization: -5.026864e-03
j:268 output polarization: -5.026864e-03
j:269 output polarization: -5.026864e-03
j:270 output polarization: -5.026864e-03
j:271 output polarization: -5.026864e-03
j:272 output polarization: -5.026864e-03
j:273 output polarization: -5.026864e-03
j:274 output polarization: -5.026864e-03
j:275 output polarization: -5.026864e-03
j:276 output polarization: -5.026864e-03
j:277 output polarization: -5.026864e-03
j:278 output polarization: -5.026864e-03
j:279 output polarization: -5.026864e-03
j:280 output polarization: -5.026864e-03
j:281 output polarization: -5.026864e-03
j:282 output polarization: -5.026864e-03
j:283 output polarization: -5.026864e-03
j:284 output polarization: -5.026864e-03
j:285 output polarization: -5.026864e-03
j:286 output polarization: -5.026864e-03
j:287 output polarization: -5.026864e-03
j:288 output polarization: -5.026864e-03
j:289 output polarization: -5.026864e-03
j:290 output polarization: -5.026864e-03
j:291 output polarization: -5.026864e-03
j:292 output polarization: -5.026864e-03
j:293 output polarization: -5.026864e-03
j:294 output polarization: -5.026864e-03
j:295 output polarization: -5.026864e-03
j:296 output polarization: -5.026864e-03
j:297 output polarization: -5.026864e-03
j:298 output polarization: -5.026864e-03
j:299 output polarization: -5.026864e-03
j:300 output polarization: -5.026864e-03
j:301 output polarization: -5.026864e-03
j:302 output polarization: -5.026864e-03
j:303 output polarization: -5.026864e-03
j:304 output polarization: -5.026864e-03
j:305 output polarization: -5.026864e-03
j:306 output polarization: -5.026864e-03
j:307 output polarization: -5.026864e-03
j:308 output polarization: -5.026864e-03
j:309 output polarization: -5.026864e-03
j:310 output polarization: -5.026864e-03
j:311 output polarization: -5.026864e-03
j:312 output polarization: -5.026864e-03
j:313 output polarization: -5.026864e-03
j:314 output polarization: -5.026864e-03
j:315 output polarization: -5.026864e-03
j:316 output polarization: -5.026864e-03
j:317 output polarization: -5.026864e-03
j:318 output polarization: -5.026864e-03
j:319 output polarization: -5.026864e-03
j:320 output polarization: -5.026864e-03
j:321 output polarization: -5.026864e-03
j:322 output polarization: -5.026864e-03
j:323 output polarization: -5.026864e-03
j:324 output polarization: -5.026864e-03
j:325 output polarization: -5.026864e-03
j:326 output polarization: -5.026864e-03
j:327 output polarization: -5.026864e-03
j:328 output polarization: -5.026864e-03
j:329 output polarization: -5.026864e-03
j:330 output polarization: -5.026864e-03
j:331 output polarization: -5.026864e-03
j:332 output polarization: -5.026864e-03
j:333 output polarization: -5.026864e-03
j:334 output polarization: -5.026864e-03
j:335 output polarization: -5.026864e-03
j:336 output polarization: -5.026864e-03
j:337 output polarization: -5.026864e-03
j:338 output polarization: -5.026864e-03
j:339 output polarization: -5.026864e-03
j:340 output polarization: -5.026864e-03
j:341 output polarization: -5.026864e-03
j:342 output polarization: -5.026864e-03
j:343 output polarization: -5.026864e-03
j:344 output polarization: -5.026864e-03
j:345 output polarization: -5.026864e-03
j:346 output polarization: -5.026864e-03
j:347 output polarization: -5.026864e-03
j:348 output polarization: -5.026864e-03
j:349 output polarization: -5.026864e-03
j:350 output polarization: -5.026864e-03
j:351 output polarization: -5.026864e-03
j:352 output polarization: -5.026864e-03
j:353 output polarization: -5.026864e-03
j:354 output polarization: -5.026864e-03
j:355 output polarization: -5.026864e-03
j:356 output polarization: -5.026864e-03
j:357 output polarization: -5.026864e-03
j:358 output polarization: -5.026864e-03
j:359 output polarization: -5.026864e-03
j:360 output polarization: -5.026864e-03
j:361 output polarization: -5.026864e-03
j:362 output polarization: -5.026864e-03
j:363 output polarization: -5.026864e-03
j:364 output polarization: -5.026864e-03
j:365 output polarization: -5.026864e-03
j:366 output polarization: -5.026864e-03
j:367 output polarization: -5.026864e-03
j:368 output polarization: -5.026864e-03
j:369 output polarization: -5.026864e-03
j:370 output polarization: -5.026864e-03
j:371 output polarization: -5.026864e-03
j:372 output polarization: -5.026864e-03
j:373 output polarization: -5.026864e-03
j:374 output polarization: -5.026864e-03
j:375 output polarization: -5.026864e-03
j:376 output polarization: -5.026864e-03
j:377 output polarization: -5.026864e-03
j:378 output polarization: -5.026864e-03
j:379 output polarization: -5.026864e-03
j:380 output polarization: -5.026864e-03
j:381 output polarization: -5.026864e-03
j:382 output polarization: -5.026864e-03
j:383 output polarization: -5.026864e-03
j:384 output polarization: -5.026864e-03
j:385 output polarization: -5.026864e-03
j:386 output polarization: -5.026864e-03
j:387 output polarization: -5.026864e-03
j:388 output polarization: -5.026864e-03
j:389 output polarization: -5.026864e-03
j:390 output polarization: -5.026864e-03
j:391 output polarization: -5.026864e-03
j:392 output polarization: -5.026864e-03
j:393 output polarization: -5.026864e-03
j:394 output polarization: -5.026864e-03
j:395 output polarization: -5.026864e-03
j:396 output polarization: -5.026864e-03
j:397 output polarization: -5.026864e-03
j:398 output polarization: -5.026864e-03
j:399 output polarization: -5.026864e-03
j:400 output polarization: -5.026864e-03
j:401 output polarization: -5.026864e-03
j:402 output polarization: -5.026864e-03
j:403 output polarization: -5.026864e-03
j:404 output polarization: -5.026864e-03
j:405 output polarization: -5.026864e-03
j:406 output polarization: -5.026864e-03
j:407 output polarization: -5.026864e-03
j:408 output polarization: -5.026864e-03
j:409 output polarization: -5.026864e-03
j:410 output polarization: -5.026864e-03
j:411 output polarization: -5.026864e-03
j:412 output polarization: -5.026864e-03
j:413 output polarization: -5.026864e-03
j:414 output polarization: -5.026864e-03
j:415 output polarization: -5.026864e-03
j:416 output polarization: -5.026864e-03
j:417 output polarization: -5.026864e-03
j:418 output polarization: -5.026864e-03
j:419 output polarization: -5.026864e-03
j:420 output polarization: -5.026864e-03
j:421 output polarization: -5.026864e-03
j:422 output polarization: -5.026864e-03
j:423 output polarization: -5.026864e-03
j:424 output polarization: -5.026864e-03
j:425 output polarization: -5.026864e-03
j:426 output polarization: -5.026864e-03
j:427 output polarization: -5.026864e-03
j:428 output polarization: -5.026864e-03
j:429 output polarization: -5.026864e-03
j:430 output polarization: -5.026864e-03
j:431 output polarization: -5.026864e-03
j:432 output polarization: -5.026864e-03
j:433 output polarization: -5.026864e-03
j:434 output polarization: -5.026864e-03
j:435 output polarization: -5.026864e-03
j:436 output polarization: -5.026864e-03
j:437 output polarization: -5.026864e-03
j:438 output polarization: -5.026864e-03
j:439 output polarization: -5.026864e-03
j:440 output polarization: -5.026864e-03
j:441 output polarization: -5.026864e-03
j:442 output polarization: -5.026864e-03
j:443 output polarization: -5.026864e-03
j:444 output polarization: -5.026864e-03
j:445 output polarization: -5.026864e-03
j:446 output polarization: -5.026864e-03
j:447 output polarization: -5.026864e-03
j:448 output polarization: -5.026864e-03
j:449 output polarization: -5.026864e-03
j:450 output polarization: -5.026864e-03
j:451 output polarization: -5.026864e-03
j:452 output polarization: -5.026864e-03
j:453 output polarization: -5.026864e-03
j:454 output polarization: -5.026864e-03
j:455 output polarization: -5.026864e-03
j:456 output polarization: -5.026864e-03
j:457 output polarization: -5.026864e-03
j:458 output polarization: -5.026864e-03
j:459 output polarization: -5.026864e-03
j:460 output polarization: -5.026864e-03
j:461 output polarization: -5.026864e-03
j:462 output polarization: -5.026864e-03
j:463 output polarization: -5.026864e-03
j:464 output polarization: -5.026864e-03
j:465 output polarization: -5.026864e-03
j:466 output polarization: -5.026864e-03
j:467 output polarization: -5.026864e-03
j:468 output polarization: -5.026864e-03
j:469 output polarization: -5.026864e-03
j:470 output polarization: -5.026864e-03
j:471 output polarization: -5.026864e-03
j:472 output polarization: -5.026864e-03
j:473 output polarization: -5.026864e-03
j:474 output polarization: -5.026864e-03
j:475 output polarization: -5.026864e-03
j:476 output polarization: -5.026864e-03
j:477 output polarization: -5.026864e-03
j:478 output polarization: -5.026864e-03
j:479 output polarization: -5.026864e-03
j:480 output polarization: -5.026864e-03
j:481 output polarization: -5.026864e-03
j:482 output polarization: -5.026864e-03
j:483 output polarization: -5.026864e-03
j:484 output polarization: -5.026864e-03
j:485 output polarization: -5.026864e-03
j:486 output polarization: -5.026864e-03
j:487 output polarization: -5.026864e-03
j:488 output polarization: -5.026864e-03
j:489 output polarization: -5.026864e-03
j:490 output polarization: -5.026864e-03
j:491 output polarization: -5.026864e-03
j:492 output polarization: -5.026864e-03
j:493 output polarization: -5.026864e-03
j:494 output polarization: -5.026864e-03
j:495 output polarization: -5.026864e-03
j:496 output polarization: -5.026864e-03
j:497 output polarization: -5.026864e-03
j:498 output polarization: -5.026864e-03
j:499 output polarization: -5.026864e-03
j:500 output polarization: -5.026864e-03
j:501 output polarization: -5.026864e-03
j:502 output polarization: -5.026864e-03
j:503 output polarization: -5.026864e-03
j:504 output polarization: -5.026864e-03
j:505 output polarization: -5.026864e-03
j:506 output polarization: -5.026864e-03
j:507 output polarization: -5.026864e-03
j:508 output polarization: -5.026864e-03
j:509 output polarization: -5.026864e-03
j:510 output polarization: -5.026864e-03
j:511 output polarization: -5.026864e-03
j:512 output polarization: -5.026864e-03
j:513 output polarization: -5.026864e-03
j:514 output polarization: -5.026864e-03
j:515 output polarization: -5.026864e-03
j:516 output polarization: -5.026864e-03
j:517 output polarization: -5.026864e-03
j:518 output polarization: -5.026864e-03
j:519 output polarization: -5.026864e-03
j:520 output polarization: -5.026864e-03
j:521 output polarization: -5.026864e-03
j:522 output polarization: -5.026864e-03
j:523 output polarization: -5.026864e-03
j:524 output polarization: -5.026864e-03
j:525 output polarization: -5.026864e-03
j:526 output polarization: -5.026864e-03
j:527 output polarization: -5.026864e-03
j:528 output polarization: -5.026864e-03
j:529 output polarization: -5.026864e-03
j:530 output polarization: -5.026864e-03
j:531 output polarization: -5.026864e-03
j:532 output polarization: -5.026864e-03
j:533 output polarization: -5.026864e-03
j:534 output polarization: -5.026864e-03
j:535 output polarization: -5.026864e-03
j:536 output polarization: -5.026864e-03
j:537 output polarization: -5.026864e-03
j:538 output polarization: -5.026864e-03
j:539 output polarization: -5.026864e-03
j:540 output polarization: -5.026864e-03
j:541 output polarization: -5.026864e-03
j:542 output polarization: -5.026864e-03
j:543 output polarization: -5.026864e-03
j:544 output polarization: -5.026864e-03
j:545 output polarization: -5.026864e-03
j:546 output polarization: -5.026864e-03
j:547 output polarization: -5.026864e-03
j:548 output polarization: -5.026864e-03
j:549 output polarization: -5.026864e-03
j:550 output polarization: -5.026864e-03
j:551 output polarization: -5.026864e-03
j:552 output polarization: -5.026864e-03
j:553 output polarization: -5.026864e-03
j:554 output polarization: -5.026864e-03
j:555 output polarization: -5.026864e-03
j:556 output polarization: -5.026864e-03
j:557 output polarization: -5.026864e-03
j:558 output polarization: -5.026864e-03
j:559 output polarization: -5.026864e-03
j:560 output polarization: -5.026864e-03
j:561 output polarization: -5.026864e-03
j:562 output polarization: -5.026864e-03
j:563 output polarization: -5.026864e-03
j:564 output polarization: -5.026864e-03
j:565 output polarization: -5.026864e-03
j:566 output polarization: -5.026864e-03
j:567 output polarization: -5.026864e-03
j:568 output polarization: -5.026864e-03
j:569 output polarization: -5.026864e-03
j:570 output polarization: -5.026864e-03
j:571 output polarization: -5.026864e-03
j:572 output polarization: -5.026864e-03
j:573 output polarization: -5.026864e-03
j:574 output polarization: -5.026864e-03
j:575 output polarization: -5.026864e-03
j:576 output polarization: -5.026864e-03
j:577 output polarization: -5.026864e-03
j:578 output polarization: -5.026864e-03
j:579 output polarization: -5.026864e-03
j:580 output polarization: -5.026864e-03
j:581 output polarization: -5.026864e-03
j:582 output polarization: -5.026864e-03
j:583 output polarization: -5.026864e-03
j:584 output polarization: -5.026864e-03
j:585 output polarization: -5.026864e-03
j:586 output polarization: -5.026864e-03
j:587 output polarization: -5.026864e-03
j:588 output polarization: -5.026864e-03
j:589 output polarization: -5.026864e-03
j:590 output polarization: -5.026864e-03
j:591 output polarization: -5.026864e-03
j:592 output polarization: -5.026864e-03
j:593 output polarization: -5.026864e-03
j:594 output polarization: -5.026864e-03
j:595 output polarization: -5.026864e-03
j:596 output polarization: -5.026864e-03
j:597 output polarization: -5.026864e-03
j:598 output polarization: -5.026864e-03
j:599 output polarization: -5.026864e-03
j:600 output polarization: -5.026864e-03
j:601 output polarization: -5.026864e-03
j:602 output polarization: -5.026864e-03
j:603 output polarization: -5.026864e-03
j:604 output polarization: -5.026864e-03
j:605 output polarization: -5.026864e-03
j:606 output polarization: -5.026864e-03
j:607 output polarization: -5.026864e-03
j:608 output polarization: -5.026864e-03
j:609 output polarization: -5.026864e-03
j:610 output polarization: -5.026864e-03
j:611 output polarization: -5.026864e-03
j:612 output polarization: -5.026864e-03
j:613 output polarization: -5.026864e-03
j:614 output polarization: -5.026864e-03
j:615 output polarization: -5.026864e-03
j:616 output polarization: -5.026864e-03
j:617 output polarization: -5.026864e-03
